DetId/i, BinaryDetId/B, Section/C, Layer/I, Ring/I, sensorCenterRho_mm/D, sensorCenterZ_mm/D, phi_deg/D
441201717,00011010010011000011010000110101,TB2S, 1, 1, 704.650000, 55.491247, 90.000000
441201718,00011010010011000011010000110110,TB2S, 1, 1, 706.450000, 55.491247, 90.000000
441201722,00011010010011000011010000111010,TB2S, 1, 2, 699.150000, 154.090216, 90.000000
441201721,00011010010011000011010000111001,TB2S, 1, 2, 700.950000, 154.090216, 90.000000
441201725,00011010010011000011010000111101,TB2S, 1, 3, 704.650000, 255.043344, 90.000000
441201726,00011010010011000011010000111110,TB2S, 1, 3, 706.450000, 255.043344, 90.000000
441201730,00011010010011000011010001000010,TB2S, 1, 4, 699.150000, 351.483714, 90.000000
441201729,00011010010011000011010001000001,TB2S, 1, 4, 700.950000, 351.483714, 90.000000
441201733,00011010010011000011010001000101,TB2S, 1, 5, 704.650000, 453.102648, 90.000000
441201734,00011010010011000011010001000110,TB2S, 1, 5, 706.450000, 453.102648, 90.000000
441201738,00011010010011000011010001001010,TB2S, 1, 6, 699.150000, 546.102648, 90.000000
441201737,00011010010011000011010001001001,TB2S, 1, 6, 700.950000, 546.102648, 90.000000
441201741,00011010010011000011010001001101,TB2S, 1, 7, 704.650000, 648.378030, 90.000000
441201742,00011010010011000011010001001110,TB2S, 1, 7, 706.450000, 648.378030, 90.000000
441201746,00011010010011000011010001010010,TB2S, 1, 8, 699.150000, 739.378030, 90.000000
441201745,00011010010011000011010001010001,TB2S, 1, 8, 700.950000, 739.378030, 90.000000
441201749,00011010010011000011010001010101,TB2S, 1, 9, 704.650000, 842.305327, 90.000000
441201750,00011010010011000011010001010110,TB2S, 1, 9, 706.450000, 842.305327, 90.000000
441201754,00011010010011000011010001011010,TB2S, 1, 10, 699.150000, 932.393155, 90.000000
441201753,00011010010011000011010001011001,TB2S, 1, 10, 700.950000, 932.393155, 90.000000
441201757,00011010010011000011010001011101,TB2S, 1, 11, 704.650000, 1035.971490, 90.000000
441201758,00011010010011000011010001011110,TB2S, 1, 11, 706.450000, 1035.971490, 90.000000
441201762,00011010010011000011010001100010,TB2S, 1, 12, 699.150000, 1123.964390, 90.000000
441201761,00011010010011000011010001100001,TB2S, 1, 12, 700.950000, 1123.964390, 90.000000
441201714,00011010010011000011010000110010,TB2S, 1, 1, 699.150000, -44.308243, 90.000000
441201713,00011010010011000011010000110001,TB2S, 1, 1, 700.950000, -44.308243, 90.000000
441201709,00011010010011000011010000101101,TB2S, 1, 2, 704.650000, -144.891078, 90.000000
441201710,00011010010011000011010000101110,TB2S, 1, 2, 706.450000, -144.891078, 90.000000
441201706,00011010010011000011010000101010,TB2S, 1, 3, 699.150000, -242.522989, 90.000000
441201705,00011010010011000011010000101001,TB2S, 1, 3, 700.950000, -242.522989, 90.000000
441201701,00011010010011000011010000100101,TB2S, 1, 4, 704.650000, -343.774399, 90.000000
441201702,00011010010011000011010000100110,TB2S, 1, 4, 706.450000, -343.774399, 90.000000
441201698,00011010010011000011010000100010,TB2S, 1, 5, 699.150000, -439.254946, 90.000000
441201697,00011010010011000011010000100001,TB2S, 1, 5, 700.950000, -439.254946, 90.000000
441201693,00011010010011000011010000011101,TB2S, 1, 6, 704.650000, -541.169931, 90.000000
441201694,00011010010011000011010000011110,TB2S, 1, 6, 706.450000, -541.169931, 90.000000
441201690,00011010010011000011010000011010,TB2S, 1, 7, 699.150000, -634.169931, 90.000000
441201689,00011010010011000011010000011001,TB2S, 1, 7, 700.950000, -634.169931, 90.000000
441201685,00011010010011000011010000010101,TB2S, 1, 8, 704.650000, -736.742363, 90.000000
441201686,00011010010011000011010000010110,TB2S, 1, 8, 706.450000, -736.742363, 90.000000
441201682,00011010010011000011010000010010,TB2S, 1, 9, 699.150000, -827.742363, 90.000000
441201681,00011010010011000011010000010001,TB2S, 1, 9, 700.950000, -827.742363, 90.000000
441201677,00011010010011000011010000001101,TB2S, 1, 10, 704.650000, -930.967712, 90.000000
441201678,00011010010011000011010000001110,TB2S, 1, 10, 706.450000, -930.967712, 90.000000
441201674,00011010010011000011010000001010,TB2S, 1, 11, 699.150000, -1020.096460, 90.000000
441201673,00011010010011000011010000001001,TB2S, 1, 11, 700.950000, -1020.096460, 90.000000
441201669,00011010010011000011010000000101,TB2S, 1, 12, 704.650000, -1123.970618, 90.000000
441201670,00011010010011000011010000000110,TB2S, 1, 12, 706.450000, -1123.970618, 90.000000
441202741,00011010010011000011100000110101,TB2S, 1, 1, 673.050000, 55.491247, 97.500000
441202742,00011010010011000011100000110110,TB2S, 1, 1, 674.850000, 55.491247, 97.500000
441202746,00011010010011000011100000111010,TB2S, 1, 2, 667.550000, 154.090216, 97.500000
441202745,00011010010011000011100000111001,TB2S, 1, 2, 669.350000, 154.090216, 97.500000
441202749,00011010010011000011100000111101,TB2S, 1, 3, 673.050000, 255.043344, 97.500000
441202750,00011010010011000011100000111110,TB2S, 1, 3, 674.850000, 255.043344, 97.500000
441202754,00011010010011000011100001000010,TB2S, 1, 4, 667.550000, 351.483714, 97.500000
441202753,00011010010011000011100001000001,TB2S, 1, 4, 669.350000, 351.483714, 97.500000
441202757,00011010010011000011100001000101,TB2S, 1, 5, 673.050000, 453.102648, 97.500000
441202758,00011010010011000011100001000110,TB2S, 1, 5, 674.850000, 453.102648, 97.500000
441202762,00011010010011000011100001001010,TB2S, 1, 6, 667.550000, 546.102648, 97.500000
441202761,00011010010011000011100001001001,TB2S, 1, 6, 669.350000, 546.102648, 97.500000
441202765,00011010010011000011100001001101,TB2S, 1, 7, 673.050000, 648.378030, 97.500000
441202766,00011010010011000011100001001110,TB2S, 1, 7, 674.850000, 648.378030, 97.500000
441202770,00011010010011000011100001010010,TB2S, 1, 8, 667.550000, 739.378030, 97.500000
441202769,00011010010011000011100001010001,TB2S, 1, 8, 669.350000, 739.378030, 97.500000
441202773,00011010010011000011100001010101,TB2S, 1, 9, 673.050000, 842.305327, 97.500000
441202774,00011010010011000011100001010110,TB2S, 1, 9, 674.850000, 842.305327, 97.500000
441202778,00011010010011000011100001011010,TB2S, 1, 10, 667.550000, 932.393155, 97.500000
441202777,00011010010011000011100001011001,TB2S, 1, 10, 669.350000, 932.393155, 97.500000
441202781,00011010010011000011100001011101,TB2S, 1, 11, 673.050000, 1035.971490, 97.500000
441202782,00011010010011000011100001011110,TB2S, 1, 11, 674.850000, 1035.971490, 97.500000
441202786,00011010010011000011100001100010,TB2S, 1, 12, 667.550000, 1123.964390, 97.500000
441202785,00011010010011000011100001100001,TB2S, 1, 12, 669.350000, 1123.964390, 97.500000
441202738,00011010010011000011100000110010,TB2S, 1, 1, 667.550000, -44.308243, 97.500000
441202737,00011010010011000011100000110001,TB2S, 1, 1, 669.350000, -44.308243, 97.500000
441202733,00011010010011000011100000101101,TB2S, 1, 2, 673.050000, -144.891078, 97.500000
441202734,00011010010011000011100000101110,TB2S, 1, 2, 674.850000, -144.891078, 97.500000
441202730,00011010010011000011100000101010,TB2S, 1, 3, 667.550000, -242.522989, 97.500000
441202729,00011010010011000011100000101001,TB2S, 1, 3, 669.350000, -242.522989, 97.500000
441202725,00011010010011000011100000100101,TB2S, 1, 4, 673.050000, -343.774399, 97.500000
441202726,00011010010011000011100000100110,TB2S, 1, 4, 674.850000, -343.774399, 97.500000
441202722,00011010010011000011100000100010,TB2S, 1, 5, 667.550000, -439.254946, 97.500000
441202721,00011010010011000011100000100001,TB2S, 1, 5, 669.350000, -439.254946, 97.500000
441202717,00011010010011000011100000011101,TB2S, 1, 6, 673.050000, -541.169931, 97.500000
441202718,00011010010011000011100000011110,TB2S, 1, 6, 674.850000, -541.169931, 97.500000
441202714,00011010010011000011100000011010,TB2S, 1, 7, 667.550000, -634.169931, 97.500000
441202713,00011010010011000011100000011001,TB2S, 1, 7, 669.350000, -634.169931, 97.500000
441202709,00011010010011000011100000010101,TB2S, 1, 8, 673.050000, -736.742363, 97.500000
441202710,00011010010011000011100000010110,TB2S, 1, 8, 674.850000, -736.742363, 97.500000
441202706,00011010010011000011100000010010,TB2S, 1, 9, 667.550000, -827.742363, 97.500000
441202705,00011010010011000011100000010001,TB2S, 1, 9, 669.350000, -827.742363, 97.500000
441202701,00011010010011000011100000001101,TB2S, 1, 10, 673.050000, -930.967712, 97.500000
441202702,00011010010011000011100000001110,TB2S, 1, 10, 674.850000, -930.967712, 97.500000
441202698,00011010010011000011100000001010,TB2S, 1, 11, 667.550000, -1020.096460, 97.500000
441202697,00011010010011000011100000001001,TB2S, 1, 11, 669.350000, -1020.096460, 97.500000
441202693,00011010010011000011100000000101,TB2S, 1, 12, 673.050000, -1123.970618, 97.500000
441202694,00011010010011000011100000000110,TB2S, 1, 12, 674.850000, -1123.970618, 97.500000
441203765,00011010010011000011110000110101,TB2S, 1, 1, 704.650000, 55.491247, 105.000000
441203766,00011010010011000011110000110110,TB2S, 1, 1, 706.450000, 55.491247, 105.000000
441203770,00011010010011000011110000111010,TB2S, 1, 2, 699.150000, 154.090216, 105.000000
441203769,00011010010011000011110000111001,TB2S, 1, 2, 700.950000, 154.090216, 105.000000
441203773,00011010010011000011110000111101,TB2S, 1, 3, 704.650000, 255.043344, 105.000000
441203774,00011010010011000011110000111110,TB2S, 1, 3, 706.450000, 255.043344, 105.000000
441203778,00011010010011000011110001000010,TB2S, 1, 4, 699.150000, 351.483714, 105.000000
441203777,00011010010011000011110001000001,TB2S, 1, 4, 700.950000, 351.483714, 105.000000
441203781,00011010010011000011110001000101,TB2S, 1, 5, 704.650000, 453.102648, 105.000000
441203782,00011010010011000011110001000110,TB2S, 1, 5, 706.450000, 453.102648, 105.000000
441203786,00011010010011000011110001001010,TB2S, 1, 6, 699.150000, 546.102648, 105.000000
441203785,00011010010011000011110001001001,TB2S, 1, 6, 700.950000, 546.102648, 105.000000
