DetId/U, BinaryDetId/B, Section/C, Layer/I, Ring/I, SensorCenter rho(mm), SensorCenter z(mm), tiltAngle_deg/D, skewAngle_deg/D, yawAngle_deg/D, phi_deg/D, vtxOneX_mm/D, vtxOneY_mm/D,vtxTwoX_mm/D,vtxTwoY_mm/D,vtxThreeX_mm/D,vtxThreeY_mm/D,vtxFourX_mm/D,vtxFourY_mm/D, meanWidth_mm/D, length_mm/D, sensorSpacing_mm/D, sensorThickness_mm/D
441201716,00011010010011000011010000110100,TB2S, 1, 1, 705.050000, 52.800359, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201720,00011010010011000011010000111000,TB2S, 1, 2, 700.550000, 151.683666, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201724,00011010010011000011010000111100,TB2S, 1, 3, 705.050000, 252.508256, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201728,00011010010011000011010001000000,TB2S, 1, 4, 700.550000, 349.525825, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201732,00011010010011000011010001000100,TB2S, 1, 5, 705.050000, 450.837156, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201736,00011010010011000011010001001000,TB2S, 1, 6, 700.550000, 546.001871, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201740,00011010010011000011010001001100,TB2S, 1, 7, 705.050000, 647.796582, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201744,00011010010011000011010001010000,TB2S, 1, 8, 700.550000, 740.796582, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201748,00011010010011000011010001010100,TB2S, 1, 9, 705.050000, 843.070536, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201752,00011010010011000011010001011000,TB2S, 1, 10, 700.550000, 934.070536, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
